Taxon Name,Influent_WWTP_1_24_24_MH1_S480,Influent_WWTP_2_1_24_MH1_S340,Influent_WWTP_1_24_24_MH2_S478,Influent_WWTP_1_24_24_MH3_S479,Influent_WWTP_1_24_24_MH4_S476,Influent_WWTP_2_1_24_MH2_S339,Influent_WWTP_2_1_24_MH3_S346,Influent_WWTP_2_1_24_MH4_S341,Influent_WWTP_2_10_24_MH2_S348,Influent_WWTP_2_10_24_MH3_S338,Influent_WWTP_2_10_24_MH4_S337,Influent_WWTP_2_14_24_MH2_S349,Influent_WWTP_2_14_24_MH3_S343,Influent_WWTP_2_14_24_MH4_S342,Influent_WWTP_7_31_23_MH2_S477,Influent_WWTP_7_31_23_MH3_S355,Influent_WWTP_7_31_23_MH4_S347,Influent_WWTP_7_24_23_MH2_S473,Influent_WWTP_7_24_23_MH3_S359,Influent_WWTP_7_24_23_MH4_S358,Influent_WWTP_7_17_23_MH2_S474,Influent_WWTP_7_17_23_MH3_S351,Influent_WWTP_7_17_23_MH4_S350,Influent_WWTP_7_10_23_MH2_S353,Influent_WWTP_7_10_23_MH3_S354
Burkholderia pseudomallei,4332,59,240,258,97,60,105,118,70,748,87,1599,79,99,78,53,100,220,77,59,48,91,106,70,55
Bacteriophage sp.,2181,5155,3737,5468,5148,5129,5059,4554,2513,2232,1626,4160,4249,3521,5992,12186,5771,1311,1195,965,2440,1547,1368,1878,1757
Zoogloea oryzae,4307,1541,10320,3922,1828,2241,2036,1856,3170,3396,3284,1876,2727,3567,239,1009,872,2499,4229,1261,873,2454,4264,1757,2326
Acinetobacter sp. 10FS3-1,4303,279,6018,5234,1276,367,297,524,1255,2283,4018,1112,1685,925,2,,5,,,4,1,3,1,11,4
Thauera sp. GDN1,4302,1267,8548,3718,1209,1296,1309,1197,1769,2200,2013,1410,2017,2160,564,1648,2540,1293,1167,982,847,1809,2688,1130,1236
Mycolicibacterium helvum,4294,4,46,42,5,3,1,6,20,7,3,1,5,11,224,31,38,75,53,44,45,40,31,55,17
Actinomycetes bacterium,1,1,8,,1,,1,2,1,,,,,,2,,,,,,,,,1,
Chryseobacterium sp.,437,41,102,39,211,34,98,112,12,13,16,26,60,41,27,14,48,27,17,48,4,41,22,18,24
Dietzia psychralcaliphila,4236,5,86,116,12,,2,16,14,19,6,2,7,10,8,41,55,25,30,19,228,365,663,34,12
Bacillus anthracis,624,2,1,180,9,1,1,2,9,13,15,6,15,9,,,1,1,1,,,3,,1,1
Roseomonas fluvialis,4204,67,814,723,75,51,54,73,287,200,192,218,253,322,2791,2549,1361,300,593,174,772,633,809,1460,609
Lachnospiraceae bacterium,243,2322,1423,5264,1305,2149,2463,1758,2546,2094,940,4470,3037,3165,55,107,210,168,82,157,100,404,114,99,141
Rhodospirillaceae bacterium,79,2,101,36,8,12,27,9,21,14,13,29,19,22,27,45,51,34,37,34,42,58,62,191,15
Raoultella ornithinolytica,51,3373,3383,3410,5312,2625,2514,4301,1527,716,1362,1194,846,2146,34,17,14,25,26,15,37,29,26,20,13
Crassvirales sp.,295,167,75,88,128,129,172,142,42,41,33,81,95,82,81,34,24,71,36,23,2227,54,32,80,34
Flavobacterium nackdongense,4165,1085,895,956,3264,506,2371,2535,1292,1731,3197,1219,2371,1693,84,14,16,26,15,29,73,20,17,30,27
Nitrospira sp.,1,37,181,88,20,60,30,24,57,24,41,12,22,24,89,96,144,945,775,1230,190,129,155,120,527
Candidatus Saccharibacteria bacterium oral taxon 955,1884,12,45,267,9,7,12,11,26,8,3,34,12,11,104,29,13,92,23,7,194,20,9,67,4
Xanthomonas hyacinthi,4114,18,260,183,60,22,27,48,35,35,46,32,37,38,45,32,37,154,35,25,36,32,70,144,28
Haematobacter massiliensis,4109,92,2179,2280,71,42,39,387,928,243,190,315,737,183,183,96,173,179,89,122,171,260,406,111,58
Rhodobacter capsulatus,3458,97,1144,1116,165,109,150,146,317,217,269,245,209,250,182,290,255,261,204,210,247,435,750,208,101
Mycobacterium dioxanotrophicus,4087,25,142,145,12,8,22,14,23,14,34,20,33,27,241,753,758,778,714,522,254,489,764,631,340
Aeromonas media,4076,115008,99586,61775,56294,111660,53211,60806,286926,125177,114337,168468,79425,73682,131,120,141,6318,147,1927,143,91,89,1868,111
Acidovorax sp. JMULE5,4015,3484,26556,13971,7819,3261,8855,7813,5737,4388,5682,5133,6052,6795,3103,2177,2451,1887,1079,1005,1550,1385,2501,2188,1017
Acidovorax radicis,4012,641,3153,2462,1031,569,1137,989,1089,832,989,809,892,960,1225,1219,1395,746,589,521,703,1326,1037,996,449
Tetrasphaera sp. HKS02,3965,10,168,51,12,3,18,9,21,23,11,7,9,28,24,84,63,46,59,62,69,293,367,41,25
Sphingopyxis granuli,3951,47,873,580,114,25,103,91,147,135,138,77,82,107,120,154,151,300,186,135,153,270,467,203,65
Curvibacter putative symbiont of Hydra magnipapillata,2947,465,937,629,1382,408,1678,1499,780,452,726,307,397,389,79,130,160,113,65,52,70,101,159,88,40
Arsenicicoccus sp. oral taxon 190,3927,4,267,83,16,27,14,22,40,35,30,26,27,16,17,73,89,36,96,69,75,301,462,69,36
Frigidibacter mobilis,3881,80,1131,920,106,76,84,84,259,196,203,215,157,179,386,267,222,333,177,208,607,632,607,169,111
Phenylobacterium sp. NIBR 498073,3881,197,1266,1699,416,172,319,327,524,364,377,318,303,354,3101,1554,1711,1291,853,880,1131,2433,1754,4644,1869
Mycolicibacterium austroafricanum,3877,1,16,31,9,,3,4,10,7,3,2,10,6,74,83,96,125,134,111,24,115,112,99,66
Candidatus Accumulibacter phosphatis,430,2,43,12,34,4,11,7,,,,5,3,2,24,1,,29,5,4,59,16,13,11,2
Gemmatimonadota bacterium,174,9,23,27,4,3,7,5,11,9,7,4,14,18,28,44,118,76,84,61,62,81,122,75,53
Ralstonia solanacearum,3828,390,1369,804,479,310,566,552,518,441,381,393,497,494,325,404,553,990,431,538,423,614,794,691,1186
Sphingobium amiense,3818,16,230,125,9,35,16,14,43,47,40,34,159,38,56,82,93,56,83,29,114,111,286,156,41
Dechloromonas denitrificans,3815,1042,4998,3071,1342,1076,1812,1432,1304,1553,1606,1007,1563,1717,14290,13058,17291,8878,5702,5682,10291,8843,7698,7122,8320
Rhodoferax sediminis,3805,260,1788,1080,480,202,421,535,448,357,380,308,272,388,291,504,463,1094,286,276,337,562,913,611,526
Legionella pneumophila,911,7,14,52,27,9,16,15,152,35,13,78,32,38,59,10,24,66,26,83,51,37,40,31,16
Planctomycetaceae bacterium,95,4,20,5,1,10,1,6,,4,2,4,2,4,24,24,37,16,19,17,24,24,33,22,14
Thermomonas carbonis,3741,1107,825,709,531,992,532,581,179,181,198,100,173,184,104,287,344,537,269,296,136,327,717,177,277
Holophagales bacterium,115,19,160,78,22,8,19,21,31,26,17,7,11,21,52,59,66,62,62,50,39,81,119,46,38
Mycolicibacterium sarraceniae,3720,3,22,34,4,2,5,10,1,4,2,6,2,2,9,39,58,46,41,36,44,76,60,60,8
Bacteroides fragilis,2474,7963,1914,31956,2582,7245,2721,2550,4861,1877,1510,10913,4439,8292,370,195,411,392,351,656,391,412,459,345,504
Clostridiales bacterium,696,825,6773,4046,2450,780,2790,2629,2040,2707,2046,2526,4026,4657,826,538,620,1086,928,1310,979,1269,1501,935,864
Pseudomonas fragi,354,647,8872,7820,1270,572,983,1099,60192,36709,38492,9911,13977,14314,1022,381,572,93,53,60,142,185,174,565,88
Bifidobacterium pseudocatenulatum,3660,464,920,1419,420,455,422,525,480,287,166,723,660,522,124,81,93,239,200,300,149,136,105,195,187
Ottowia oryzae,3657,686,9251,4889,1342,645,1199,1240,1484,751,872,969,976,1222,849,2193,2195,3117,2263,1891,1665,2372,5177,1967,1294
Dechloromonas sp. TW-R-39-2,3646,292,2011,969,432,333,602,474,377,492,457,336,522,542,1309,899,1038,1556,2614,785,1285,1416,1161,1319,1228
Mycolicibacterium phocaicum,3598,59,1034,1408,138,84,213,141,275,209,195,383,305,289,5218,15071,14385,18524,21079,16703,7644,16092,24479,19394,9110
Rhodospirillales bacterium,921,17,186,170,48,21,41,39,44,26,32,31,68,53,180,182,154,95,96,61,77,110,194,174,84
Nitrosomonas sp.,1,45,44,27,17,41,41,38,14,10,6,19,11,20,37,24,45,72,19,10,84,51,45,41,28
Novosphingobium sp. EMRT-2,3567,36,610,525,58,59,60,43,108,113,102,64,65,66,72,100,94,120,90,91,180,502,887,85,48
Sphingomonas sp. IC081,3521,127,307,505,150,112,50,55,134,88,83,82,35,48,16,61,166,99,83,38,186,402,480,75,31
Diaphorobacter sp. HDW4A,3517,1111,11572,10672,1842,842,2117,1940,3808,1460,1195,2462,2547,2573,1430,958,867,649,1105,388,975,477,793,762,555
Mycolicibacterium aichiense,3515,,21,32,2,1,4,3,14,4,9,1,3,2,46,48,51,65,76,40,73,31,49,47,20
Devosia sp.,129,4,78,53,13,4,6,5,37,9,15,24,17,30,23,51,66,57,49,52,39,101,142,74,44
Vitreoscilla filiformis,1538,191,2707,568,246,211,213,203,411,272,231,565,248,405,408,122,121,263,124,123,348,153,236,106,124
Hydrogenophaga taeniospiralis,3468,329,1475,1037,388,316,492,505,832,491,567,638,510,601,238,365,415,203,195,183,224,460,511,306,173
Mycolicibacterium insubricum,3466,6,66,155,57,22,47,42,6,8,18,12,8,8,30,98,121,115,117,84,63,113,140,67,77
Sphaerotilus sulfidivorans,3456,16967,11463,10409,11489,22190,11880,12528,10023,8719,8065,17705,9602,12517,607,1168,976,2311,474,1257,597,745,947,817,401
Streptococcus thermophilus,3455,2510,3283,5666,2957,1729,1997,2035,1447,529,206,5706,3830,1747,413,196,69,727,441,460,496,364,314,971,506
Nannocystis poenicansa,3438,33,227,115,42,50,48,48,30,63,56,33,71,70,29,33,45,46,59,42,28,40,52,30,23
Mycolicibacterium chubuense,3423,,33,17,2,1,1,2,4,6,4,5,5,8,44,42,83,71,125,55,38,50,92,57,43
uncultured Rhodobacteraceae bacterium,3414,42,545,784,69,43,63,42,193,144,128,135,129,161,78,140,158,189,104,102,124,290,432,141,46
Paenacidovorax monticola,3388,1204,6547,4473,1578,942,1489,1603,1788,1180,1474,1641,1310,1381,905,1377,1477,835,605,493,1014,861,1647,765,481
Delftia sp. KV29,3387,52,229,71,32,24,44,536,409,37,46,61,48,124,41,39,75,242,89,21,23,96,41,15,28
SPHINX/BMMF group 2 DNA sequence,3321,65,7792,8879,211,143,118,133,2716,1639,649,1997,1004,1145,,,,,,2,,,,2,
Yoonia vestfoldensis,1325,14,169,66,9,4,19,14,43,30,18,16,25,20,18,16,28,37,20,24,15,48,53,22,11
Candidatus Moranbacteria bacterium,44,1,13,18,2,1,9,3,8,,,2,,1,15,12,14,14,7,6,36,14,15,4,11
Rhodoferax sp. PAMC 29310,3272,94,355,394,136,76,183,160,243,166,185,185,150,156,126,272,308,228,171,185,130,231,248,187,89
Prolixibacteraceae bacterium,43,26,14,15,34,34,37,32,3,1,4,20,12,10,73,40,106,71,46,60,47,59,74,69,83
Azoarcus sp. DD4,3261,965,7018,2526,1064,1118,1166,1512,1660,1749,1715,968,1545,2087,466,909,984,6900,11288,15604,1481,1648,2924,2421,3018
Paracoccus aminophilus,3195,120,1230,1140,80,114,91,78,264,178,145,360,177,318,62,80,87,114,103,85,98,180,226,69,86
Enterobacter hormaechei,1925,825,1328,1660,2916,552,475,818,1804,738,240,866,510,426,241,115,425,115,243,77,393,608,693,78,64
Stutzerimonas stutzeri,2310,408,6959,2787,900,450,866,787,1628,1227,1386,1447,757,779,1099,1148,1213,615,398,245,487,752,577,742,465
Azospira restricta,3182,872,3252,2243,1158,888,1372,1254,866,876,910,710,1256,1283,628,827,1126,788,709,631,590,1223,1503,916,906
Francisella tularensis,2,12,6,3,7,1,1,7,1,4,,,4,15,16,5,4,4,6,3,25,12,7,10,7
Hydrogenophaga pseudoflava,3170,311,2433,1287,637,404,583,548,1035,748,722,1022,643,711,236,441,368,508,220,202,331,570,704,358,221
Burkholderia cenocepacia,1109,77,352,245,126,127,149,143,186,158,123,129,124,122,95,173,159,547,858,187,186,170,284,309,246
Acidovorax sp. 1608163,3165,18055,211022,112891,50634,13160,58362,52286,24478,11197,16796,20613,26538,33364,2014,3037,3460,4311,2602,1617,1348,2332,3996,2017,828
Bacilli bacterium,12,27,98,151,111,23,69,49,19,61,10,52,124,97,48,22,10,96,44,43,87,31,12,91,58
Akkermansia muciniphila,3150,627,1872,8566,903,595,729,887,556,216,237,1095,691,829,317,146,165,299,216,88,588,220,188,193,167
Oscillospiraceae bacterium,3139,4394,7074,14993,5513,4780,6950,6166,6427,6581,4676,8839,10484,9852,608,548,596,870,867,739,746,785,1007,1117,645
Acinetobacter sp. SWBY1,3113,278,3475,3346,694,275,820,1021,702,1561,1201,414,702,370,7,7,11,4,1,11,5,3,6,7,3
Gordonia bronchialis,3112,6,111,296,8,3,7,15,11,9,14,1,5,5,33,49,50,39,30,44,76,278,447,12,27
Chromatiaceae bacterium,120,6,16,35,7,8,21,10,16,10,4,8,7,17,13,12,24,17,20,9,18,20,33,11,13
Mycolicibacterium aubagnense,3102,3,204,168,6,18,29,18,47,20,26,34,21,26,364,1224,1304,1560,1679,1385,580,1319,2029,1726,808
Sphingomonas sp.,659,12,134,167,15,6,13,30,40,32,38,17,13,19,29,50,72,46,43,31,42,57,84,46,27
Aquipluma nitroreducens,3095,412,40,84,598,370,578,632,135,163,95,228,220,210,14127,14129,24167,18384,13651,23020,14829,30848,28065,15898,18540
Variovorax sp. PDNC026,3084,128,418,353,122,144,134,108,164,101,151,102,145,135,394,605,252,179,491,206,336,205,272,265,273
Phycicoccus endophyticus,3069,13,165,104,10,5,9,21,33,42,29,11,17,24,28,115,90,109,82,66,117,335,480,57,45
Klebsiella quasipneumoniae,3068,3994,5153,5292,2619,3060,2307,3048,2152,1465,1564,4723,2317,4211,348,195,156,169,71,101,163,185,751,111,97
Bacteroides thetaiotaomicron,3040,9077,1745,22844,2378,9003,2954,2849,6627,3004,2101,14045,7605,5623,395,191,213,207,285,344,171,252,217,258,417
Thermomonas aquatica,3040,392,1749,1346,650,348,536,720,415,298,373,221,261,295,366,709,1011,806,680,515,273,535,1130,530,179
Microlunatus phosphovorus,3031,33,152,140,25,25,36,23,61,54,26,28,27,20,24,39,61,65,52,57,16,102,130,42,52
Mycolicibacterium fallax,3029,9,61,47,8,8,8,2,11,6,7,11,4,5,19,63,103,152,84,52,86,90,112,52,40
Gemmataceae bacterium,318,3,38,88,5,6,7,11,19,16,7,5,6,8,20,43,48,38,35,28,32,40,50,24,26
Alcaligenes faecalis,3015,127,761,1004,183,136,364,285,352,595,628,649,488,122,81,69,140,85,92,63,91,123,109,115,81
Actibacterium sp. EMB200-NS6,3012,14,378,313,32,14,26,28,180,112,87,109,81,92,42,73,72,67,53,33,95,94,129,55,22
Caenibius sp. WL,3008,22,513,436,43,12,19,43,72,40,56,40,25,32,84,135,156,250,183,109,206,423,725,103,47
Paracidovorax avenae,2993,502,3386,2043,958,564,1132,849,934,712,863,697,800,804,1126,869,712,570,496,399,846,694,1146,507,477
Variovorax boronicumulans,2990,287,762,1056,271,281,319,280,454,283,365,248,207,309,497,1062,525,399,791,313,539,395,754,520,463
Janibacter melonis,2965,2,166,103,13,8,17,4,26,33,39,14,15,22,26,64,51,35,43,32,41,223,324,34,25
Mycobacterium gallinarum,1818,,11,23,3,,3,2,6,4,4,,2,,11,15,28,36,46,24,19,7,43,41,14
Laribacter hongkongensis,2954,5457,1420,1815,2452,4394,3383,2976,430,225,245,2636,1674,2463,752,206,198,234,130,110,187,158,263,209,139
Bosea sp. ANAM02,2949,244,4536,2725,246,188,194,169,828,447,709,436,549,596,816,1430,1285,1664,1380,1123,714,1390,2449,1102,813
Acinetobacter sp. KCTC 92772,2939,4750,12906,15313,6782,5214,7147,6537,2096,4670,4853,4459,7565,6151,30,17,32,19,21,10,51,12,17,32,16
Rhodoferax sp. BAB1,2927,294,2349,1066,709,299,877,646,569,376,506,405,425,486,292,377,568,424,259,180,569,676,812,465,215
Variovorax sp. RKNM96,2885,132,332,381,109,112,117,104,171,114,137,98,106,111,283,437,213,173,336,155,233,208,242,198,169
Acidovorax sp. YS12,2883,1471,7242,5598,2151,1308,2258,2199,2189,1222,1491,1900,1796,1964,547,924,1047,1003,789,673,664,842,1458,754,596
Staphylococcus aureus,542,8,25,10,9,3,8,12,11,1,5,24,17,15,145,32,21,7,9,11,11,438,60,53,8
Phocaeicola vulgatus,1262,38927,4290,13932,7103,38364,7896,7227,8665,7110,5757,16398,19200,16121,222,90,150,193,146,159,106,180,147,170,171
Parastrongyloides trichosuri,2807,26,345,173,37,16,60,47,50,56,58,69,36,31,39,50,46,54,25,47,21,30,69,52,30
Ichthyophthirius multifiliis,3,1,,,,,1,4,4,2,,,,1,6,,,1,,,3,2,,,
Aeromonas salmonicida,1488,11681,11098,6382,6331,9706,7596,7389,21098,7524,7913,22328,7631,7482,152,213,88,149,88,180,124,58,65,79,49
Rhodoferax sp. AJA081-3,2778,349,862,541,795,296,860,815,604,353,634,420,456,513,146,272,317,244,187,155,237,333,447,239,139
Fuscovulum sp. YMD61,2773,57,505,607,64,38,44,49,177,125,112,131,130,132,73,165,163,154,97,129,188,295,433,140,91
Polaromonas sp. P1(28)-13,2764,66,234,271,147,90,210,121,166,122,129,151,128,137,103,133,163,109,97,79,154,143,161,120,70
Hydrogenophaga sp. NH-16,2760,495,3123,1819,599,572,696,750,1220,761,1046,1101,798,929,430,626,612,361,345,285,355,604,1011,531,211
Pseudomonas syringae group genomosp. 3,2719,116,1595,809,220,220,295,171,447,287,245,340,214,278,255,106,185,306,76,74,251,209,239,116,109
Hydrogenophaga crassostreae,2702,100,475,274,233,82,277,220,188,123,168,205,145,153,383,239,226,194,76,79,133,208,194,198,62
Clostridiaceae bacterium,65,428,237,715,345,673,537,423,550,539,381,711,533,636,30,26,41,60,30,44,35,55,36,47,41
Mycobacterium sp. djl-10,2675,2,25,37,7,,6,3,6,7,6,4,9,15,60,107,167,131,103,78,93,143,124,181,67
Acinetobacter bohemicus,1,,10,77,,,8,,93,135,90,8,18,12,,,,,,,,,,,
Dechloromonas sp. A34,2655,705,3865,2025,916,725,1072,880,895,1189,1144,659,1093,1197,4137,2213,3249,3435,2082,2012,3248,4178,3008,3982,3958
Paracoccus zhejiangensis,2646,208,2320,1625,124,174,109,118,358,264,248,449,325,323,66,329,208,240,210,180,161,213,355,128,148
Cloacibacterium caeni,2646,6597,12738,10077,11236,7020,10352,9276,1432,1989,2684,5180,6950,4875,191,89,85,320,185,190,136,150,191,189,148
Candidatus Eremiobacteraeota bacterium,2,5,6,1,1,2,1,1,6,2,1,6,,2,16,8,6,16,15,6,12,10,13,8,5
Mycolicibacterium aurum,2630,11,31,60,22,4,4,4,18,12,7,4,14,25,48,88,101,171,190,117,117,114,168,141,56
Mycolicibacterium chitae,2625,1,45,84,8,4,,7,10,4,9,7,12,7,51,97,212,127,131,88,56,129,162,119,56
Pseudomonas migulae,2623,44,1692,761,191,63,242,242,812,601,679,225,272,300,125,316,358,11,414,98,110,36,46,29,19
Mycolicibacterium rutilum,2615,7,15,79,1,1,5,2,12,9,2,2,4,12,42,64,69,70,119,75,58,91,119,160,29
Rhodoferax koreense,2612,216,1388,835,365,270,360,417,445,302,490,414,329,349,746,354,480,248,902,206,1075,382,766,375,632
Hydrogenophaga sp. SL48,2580,329,1486,924,432,327,503,461,762,474,574,661,575,595,215,295,265,203,178,181,237,336,492,221,124
Mycolicibacterium pallens,2575,1,3,16,1,,2,2,,2,4,1,1,5,14,17,24,33,22,26,8,17,22,23,15
Mycobacterium sp. PYR15,2574,,11,20,6,,5,,4,1,,4,4,1,7,11,25,32,27,21,28,12,23,13,10
Acidovorax sp. JS42,2573,1223,10927,9474,1350,882,1190,1694,2511,1678,785,2626,1020,1365,918,880,580,676,403,479,633,653,1135,948,408
Rhodoferax sp. MIZ03,2562,138,405,286,227,137,308,273,230,166,284,193,208,191,3438,2187,2432,542,2679,729,2689,1525,1061,5726,1772
Delftia tsuruhatensis,2560,753,3536,2633,975,661,1018,740,1059,669,811,1013,753,838,526,766,951,539,542,433,804,644,1218,811,724
Pseudomonas veronii,267,317,2392,1232,560,193,617,491,1936,1006,1134,821,995,1115,7039,4475,8708,636,1734,618,7800,5472,2903,1252,672
Candidatus Saccharibacteria bacterium oral taxon 488,2552,21,94,437,32,14,16,19,37,10,9,55,31,37,191,36,19,197,92,34,285,28,57,140,21
Xanthobacteraceae bacterium,451,,8,3,5,6,1,1,13,3,5,1,4,4,12,26,26,19,11,12,27,12,47,13,6
Cytophagaceae bacterium,107,4,,,39,5,1,3,,,,,,2,12,5,13,6,4,4,1,13,8,5,13
Austwickia sp.,2505,15,161,99,25,22,22,10,44,19,33,31,14,25,17,52,31,57,72,48,111,230,272,35,46
Muribaculaceae bacterium,701,54,7,29,39,65,27,23,26,24,10,36,90,86,21,15,26,22,17,13,26,28,10,19,8
Candidatus Mycosynbacter amalyticus,2096,12,53,393,8,7,27,12,13,3,5,32,6,22,102,19,14,115,39,28,129,8,15,65,26
Streptococcus suis,1348,14206,20043,9924,14508,11209,9855,13237,1809,1150,411,11388,14849,12444,1137,508,361,2410,1049,1636,1708,902,997,3251,1087
Phaeobacter piscinae,2471,24,1347,829,18,22,61,19,187,76,39,103,67,99,11,46,39,26,27,39,40,46,76,51,16
Novosphingobium sp. KA1,2464,21,107,264,23,11,31,17,23,32,42,16,21,21,16,31,29,85,40,26,105,100,184,41,20
Novosphingobium sp. PP1Y,2459,13,185,242,28,10,18,26,28,40,37,17,19,25,30,27,62,68,52,29,72,224,242,51,9
Mycolicibacterium fortuitum,1116,2,17,47,9,4,7,5,15,9,13,28,8,2,74,190,181,153,304,154,66,183,212,181,93
Mycolicibacterium mucogenicum,769,7,165,303,45,17,46,43,61,37,35,64,43,60,1505,3140,3136,4205,4287,3564,1721,3010,5564,4054,1828
Rhizobacter sp. AJA081-3,2445,144,1293,707,246,129,251,231,356,340,314,175,247,249,118,231,281,153,158,153,167,323,384,174,180
Enterobacter cloacae,2424,2029,5157,4322,2288,1393,1709,2542,3093,1498,697,2865,957,857,313,92,123,382,111,72,111,129,133,108,131
Acinetobacter tandoii,737,75,1353,2778,143,106,152,179,477,1001,982,92,162,233,6,9,3,,4,2,,2,2,1,200
Azoarcus olearius,2397,1017,7684,2628,1204,1375,1474,1540,1969,2085,1853,1172,1982,2264,317,978,937,4530,1184,756,855,1640,3018,1994,1952
Ideonella dechloratans,2373,209,1088,699,321,181,377,291,392,422,413,289,335,359,210,312,345,178,210,147,164,340,339,171,193
Mycolicibacterium goodii,2370,3,22,13,6,4,14,4,10,4,5,,5,5,33,83,110,169,90,82,45,83,105,98,31
Cupriavidus taiwanensis,2370,176,671,583,204,188,261,225,304,242,223,214,232,258,207,255,287,190,178,175,228,291,416,297,478
Mycolicibacterium crocinum,2367,2,6,34,2,,,1,6,2,1,5,2,3,20,33,32,57,35,28,26,31,57,30,19
Mycolicibacterium rufum,2360,4,30,43,6,1,7,6,7,15,6,8,7,7,42,118,172,292,142,129,51,92,192,118,45
Hydrogenophaga sp. BPS33,2351,155,1242,791,331,215,446,417,492,314,363,488,392,452,222,262,309,225,131,143,177,343,441,218,102
Paracoccus pantotrophus,2344,377,4077,2942,233,488,197,164,763,572,633,644,722,834,144,394,358,319,383,344,276,398,665,328,251
Segatella copri,2040,47154,12036,31078,23827,46646,22190,23939,21859,14329,10848,37807,31310,26361,75,61,39,76,139,62,59,97,77,143,81
Streptococcus parasuis,2322,9505,18833,14697,10384,10369,9125,8933,3061,2149,904,10477,10735,8613,1481,633,523,2918,2014,2516,2750,1697,1633,4528,1856
Mycolicibacterium grossiae,2315,1,29,71,8,,3,5,12,7,14,5,10,8,48,84,101,108,120,77,82,70,118,118,47
Comamonas terrigena,2310,447,2080,2494,592,326,651,782,675,374,559,539,448,599,173,271,332,331,135,110,113,228,382,224,186
Pseudomonas fluorescens,1426,503,9981,4145,1227,460,1295,1288,7882,4487,5039,1918,2235,2310,3682,3457,2436,2263,1519,1177,5746,1012,900,295,651
Acinetobacter venetianus,1806,281,2922,1489,671,517,469,842,740,1065,869,1321,639,491,8,9,1,4,,1,,1,2,2,2
Candidatus Saccharibacteria bacterium RAAC3_TM7_1,662,3,23,148,3,7,10,6,13,2,4,18,2,6,49,7,1,37,28,5,111,10,11,17,7
Mycobacterium adipatum,2283,1,32,79,2,2,5,5,14,4,4,25,9,19,112,399,297,385,395,282,116,248,386,304,181
Mycobacterium intracellulare,2281,1,52,39,7,4,5,11,9,9,9,14,13,19,81,157,120,124,138,122,68,101,160,184,47
Bacteroides ovatus,2262,17630,2328,11204,2613,16485,2943,2696,9386,4123,2534,18393,10084,5383,272,192,211,439,389,629,165,211,172,364,136
Sphingobium xenophagum,2163,23,280,301,22,25,31,32,96,100,79,70,43,63,52,52,62,81,85,31,69,115,199,187,59
Bacteroides uniformis,1630,26393,3330,9542,4975,28681,5550,4960,5995,4163,3250,11739,12221,10363,131,60,82,103,142,99,105,254,155,185,257
Aquabacterium olei,2244,673,3029,1264,2382,496,2864,2404,1373,1647,2296,554,1388,1572,3389,3590,4770,159,514,294,2690,3995,1073,354,1051
Acinetobacter sp. SH20PTE14,2220,67,490,1040,173,65,115,99,203,416,310,134,167,167,1,2,1,4,1,1,,,3,1,2
Azospira oryzae,1113,606,2981,1786,620,678,740,580,606,803,832,551,804,976,385,398,577,1018,3888,4062,956,1120,1053,1406,2184
Paracoccus ferrooxidans,2212,113,661,626,43,95,41,28,170,127,114,168,144,154,25,95,82,78,70,101,58,98,138,50,69
Roseinatronobacter sp. S2,2210,1,88,149,6,4,9,11,19,21,18,19,29,28,5,15,17,11,10,5,30,59,31,8,9
Chromatiales bacterium,1,1,17,8,9,1,4,1,3,5,5,5,3,3,9,5,20,6,11,,25,13,10,3,6
Microvirus sp.,2206,2,24,21,2,4,3,9,8,,6,5,3,2,10,19,13,22,20,13,1,4,10,17,13
